172.28.8.2 172.27.7.123 - - [25/Apr/2025:00:00:03 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 77883us 77ms 0s
172.31.19.52 - - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check HTTP/1.1" 200 4 15760us 15ms 0s
172.28.8.2 172.27.4.185 - - [25/Apr/2025:00:00:03 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 79406us 79ms 0s
172.28.8.2 172.27.3.221 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--17102 HTTP/1.1" 200 4 31222us 31ms 0s
172.28.8.2 172.27.1.93 - - [25/Apr/2025:00:00:03 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 62511us 62ms 0s
172.28.8.2 172.27.1.39 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06234 HTTP/1.1" 200 4 15556us 15ms 0s
172.28.8.2 172.27.11.136 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.8.249 - - [25/Apr/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 109364us 109ms 0s
172.28.8.2 172.27.7.47 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21062 HTTP/1.1" 200 4 31219us 31ms 0s
172.28.8.2 172.27.7.123 - - [25/Apr/2025:00:00:04 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 125020us 125ms 0s
172.28.8.2 172.27.3.89 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06297 HTTP/1.1" 200 4 31247us 31ms 0s
172.28.8.2 172.27.5.193 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05907 HTTP/1.1" 200 4 31260us 31ms 0s
172.28.8.2 172.27.10.32 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05433 HTTP/1.1" 200 4 15610us 15ms 0s
172.28.8.2 172.27.11.25 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 15751us 15ms 0s
172.28.8.2 172.27.1.153 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05563 HTTP/1.1" 200 4 32914us 32ms 0s
172.28.8.2 172.27.3.179 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05687 HTTP/1.1" 200 4 17744us 17ms 0s
172.28.8.2 172.27.7.53 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.6.215 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06039 HTTP/1.1" 200 4 31248us 31ms 0s
172.28.8.2 172.27.5.36 - - [25/Apr/2025:00:00:04 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 67388 236001us 236ms 0s
172.28.8.2 172.27.9.229 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21317 HTTP/1.1" 200 4 31287us 31ms 0s
172.28.8.2 172.27.6.237 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05899 HTTP/1.1" 200 4 15641us 15ms 0s
172.28.8.2 172.27.1.242 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06246 HTTP/1.1" 200 4 30959us 30ms 0s
172.28.8.2 172.27.3.96 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06377 HTTP/1.1" 200 4 31244us 31ms 0s
172.28.8.2 172.27.1.174 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20813 HTTP/1.1" 200 4 31126us 31ms 0s
172.28.8.2 172.27.3.118 - - [25/Apr/2025:00:00:04 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 125050us 125ms 0s
172.28.8.2 172.27.4.125 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--17074 HTTP/1.1" 200 4 31251us 31ms 0s
172.28.8.2 172.27.10.134 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20064 HTTP/1.1" 200 4 31114us 31ms 0s
172.28.8.2 172.27.4.137 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20028 HTTP/1.1" 200 4 15762us 15ms 0s
